epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,837.771,0.65041,0.3787,0.83409,0.97894,0.93936,0.9824,0.82387,0.62758,0.34704,0.81395,0.0004952,0.0004952,0.0004952
78,847.429,0.63815,0.3707,0.8341,0.96799,0.95324,0.98185,0.82398,0.62059,0.34999,0.81314,0.0004754,0.0004754,0.0004754
79,856.986,0.66552,0.37922,0.84054,0.97014,0.94296,0.98062,0.82154,0.62425,0.35145,0.81377,0.0004556,0.0004556,0.0004556
80,867.221,0.66811,0.38211,0.83582,0.96606,0.94707,0.98069,0.83158,0.60642,0.34511,0.80963,0.0004358,0.0004358,0.0004358
81,877.9,0.65761,0.37682,0.83249,0.96852,0.94857,0.98134,0.82416,0.62712,0.35067,0.81115,0.000416,0.000416,0.000416
82,888.467,0.64671,0.37593,0.83724,0.96864,0.94245,0.98085,0.82278,0.62425,0.34992,0.81067,0.0003962,0.0003962,0.0003962
83,898.424,0.64303,0.37157,0.83232,0.96799,0.94793,0.98154,0.82536,0.61177,0.344,0.81029,0.0003764,0.0003764,0.0003764
84,908.284,0.65119,0.37688,0.8326,0.96491,0.94667,0.98069,0.83062,0.61247,0.34594,0.80992,0.0003566,0.0003566,0.0003566
85,918.14,0.63847,0.372,0.83336,0.96721,0.94861,0.98097,0.83184,0.60198,0.34288,0.80811,0.0003368,0.0003368,0.0003368
86,928.172,0.6273,0.36409,0.83147,0.96762,0.94861,0.98119,0.83519,0.60484,0.34164,0.80593,0.000317,0.000317,0.000317
87,938.314,0.61897,0.36174,0.82872,0.9661,0.94656,0.9804,0.83539,0.60019,0.34184,0.80937,0.0002972,0.0002972,0.0002972
88,948.151,0.63484,0.36803,0.83152,0.96476,0.9427,0.98092,0.82491,0.62529,0.3441,0.80989,0.0002774,0.0002774,0.0002774
89,957.795,0.61717,0.35912,0.83016,0.9645,0.94934,0.98083,0.83467,0.59461,0.33643,0.80825,0.0002576,0.0002576,0.0002576
90,967.479,0.62132,0.36193,0.82941,0.96817,0.9481,0.98069,0.83794,0.60688,0.33639,0.80883,0.0002378,0.0002378,0.0002378
91,1017.59,0.62047,0.36515,0.83157,0.97071,0.93885,0.97895,0.83022,0.61501,0.34507,0.80973,0.000218,0.000218,0.000218
92,1027.74,0.58561,0.34746,0.82328,0.97196,0.93936,0.97915,0.81668,0.65116,0.35031,0.81577,0.0001982,0.0001982,0.0001982
93,1037.52,0.59359,0.34492,0.8258,0.97468,0.93885,0.97971,0.82231,0.62025,0.34137,0.81032,0.0001784,0.0001784,0.0001784
94,1047.35,0.57761,0.33943,0.81908,0.96384,0.94604,0.98079,0.82677,0.60157,0.33414,0.80807,0.0001586,0.0001586,0.0001586
95,1057.12,0.56259,0.33557,0.8204,0.9714,0.94262,0.97963,0.82834,0.60609,0.33777,0.80959,0.0001388,0.0001388,0.0001388
96,1066.86,0.55998,0.33163,0.81924,0.96453,0.95018,0.98123,0.82787,0.60476,0.33665,0.80935,0.000119,0.000119,0.000119
97,1077.08,0.5565,0.32715,0.82095,0.96946,0.94624,0.98117,0.82899,0.60626,0.33557,0.81012,9.92e-05,9.92e-05,9.92e-05
98,1087.37,0.5499,0.33074,0.8159,0.96894,0.94604,0.98078,0.83536,0.59194,0.33426,0.80878,7.94e-05,7.94e-05,7.94e-05
99,1097.41,0.55088,0.32711,0.82049,0.96582,0.94861,0.98132,0.83247,0.5999,0.33385,0.80946,5.96e-05,5.96e-05,5.96e-05
100,1107.6,0.55025,0.32712,0.82063,0.96945,0.94571,0.9814,0.83351,0.59629,0.33172,0.80865,3.98e-05,3.98e-05,3.98e-05
